task,spec,baseline,world_seed,passrate,best_rho,gpu_traj_s,accept_rate,rho_min,K,K_basis,iters_basis
nav2d,gf_avoid_reach,,3003,0.2032312899827957,0.6989963054656982,5131.90153826946,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3004,0.3426870703697204,0.4419567883014679,5991.120517137089,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3005,0.2848639488220215,0.6996352672576904,5881.800592413106,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3006,0.4311224520206451,0.4385810494422912,5983.685444454553,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3007,0.2891156375408172,0.6989327669143677,5623.493946123923,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3003,0.2329931855201721,0.6988997459411621,7.738154183041401,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3004,0.3639455735683441,0.439365029335022,7.753454257526146,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3005,0.3010204136371612,0.6996810436248779,7.784836238637277,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3006,0.4404761791229248,0.4439080953598022,7.551465042713569,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3007,0.3180271983146667,0.6996736526489258,7.254448731417474,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3005,0.3010204136371612,0.6996810436248779,14.631189990374237,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3003,0.2032312899827957,0.6989963054656982,5820.994878234147,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3004,0.3426870703697204,0.4419567883014679,4502.236288606721,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3005,0.2848639488220215,0.6996352672576904,5891.931912819741,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3006,0.4311224520206451,0.4385810494422912,6074.913238072482,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3007,0.2891156375408172,0.6989327669143677,5671.86285882499,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3003,0.2329931855201721,0.6988997459411621,7.904568900328088,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3004,0.3639455735683441,0.439365029335022,7.915600470512456,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3005,0.3010204136371612,0.6996810436248779,7.905919202296538,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3006,0.4404761791229248,0.4439080953598022,7.837080758868978,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3007,0.3180271983146667,0.6996736526489258,7.902693536901701,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3003,0.2304421663284301,0.6988997459411621,15.451755915861538,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3004,0.363095223903656,0.4296135902404785,15.202772558297776,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3005,0.3010204136371612,0.6996810436248779,14.982430539627922,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3006,0.4404761791229248,0.4354299306869507,15.651118999456012,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3007,0.317176878452301,0.6996736526489258,15.082030363008904,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3003,0.2321428507566452,0.6988997459411621,14.72827090185181,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3004,0.3622449040412903,0.4260588884353637,14.833520656157647,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3005,0.2984693944454193,0.6996810436248779,15.175145348774604,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3006,0.4396258294582367,0.4354299306869507,15.399970307804772,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3007,0.3180271983146667,0.6996736526489258,15.085705603271297,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3003,0.2304421663284301,0.6988997459411621,15.171150017203756,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3004,0.363095223903656,0.4296135902404785,14.988153661707226,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3005,0.3010204136371612,0.6996810436248779,15.03684808298506,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3006,0.4404761791229248,0.4354299306869507,15.022769178162552,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3007,0.317176878452301,0.6996736526489258,14.27004071177003,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3003,0.2321428507566452,0.6988997459411621,14.82569370053416,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3004,0.360544204711914,0.4260588884353637,12.138762245208012,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3005,0.3010204136371612,0.6996810436248779,15.209325908697204,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3006,0.4396258294582367,0.4446500539779663,15.612641064006878,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3007,0.3180271983146667,0.6996736526489258,14.999682000756568,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3003,0.2312925159931183,0.6988997459411621,19.06041773428642,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3004,0.3622449040412903,0.4260588884353637,19.160730518778458,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3005,0.3001700639724731,0.6996810436248779,19.312088557204387,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3006,0.4387755095958709,0.4354299306869507,19.388285239610774,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3007,0.3180271983146667,0.6996736526489258,19.055952978027687,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3003,0.2304421663284301,0.6988997459411621,14.962652802272258,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3004,0.363095223903656,0.4296135902404785,15.20647046111412,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3005,0.3010204136371612,0.6996810436248779,14.897022686634957,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3006,0.4404761791229248,0.4354299306869507,15.580108850614453,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3007,0.317176878452301,0.6996736526489258,15.021564836177149,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3003,0.2304421663284301,0.6988997459411621,12.416379214255011,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3004,0.3639455735683441,0.4260588884353637,12.580973567241037,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3005,0.3010204136371612,0.6996810436248779,12.424892690208251,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3006,0.4387755095958709,0.4354299306869507,12.516199729498426,1.0,0.05,8,,
nav2d,gf_avoid_reach,,3007,0.3180271983146667,0.6996736526489258,12.411288637399144,1.0,0.05,8,,
